locId,locName,countryCode,subnational1Code,lat,lng,latestObsDt,numSpeciesAllTime
L7216168,Timi (Τιμή) Beach,CY,CY-05,34.7056405,32.4987345,2023-02-27 10:00,159
L5920731,Timi Forest (Δασάκι Τίμης),CY,CY-05,34.7096084,32.4923706,2023-02-07 11:41,99
L4176304,Tombs of the Kings (Τάφων των Βασιλέων),CY,CY-05,34.7754542,32.404781,2023-02-09 17:17,101
L5715821,Treis Elies (Τρεις Ελιές) (Village and Nature Trail),CY,CY-02,34.9309032,32.7944154,2022-09-17 08:22,38
L8372978,Tremithos River at Agia Anna (Αγία Άννα),CY,CY-03,34.9412925,33.4849548,2019-04-03 09:00,31
L6727126,Troödos (Τρόοδος) (Village),CY,CY-02,34.9216432,32.879988,2022-12-30 13:35,83
L6811882,Troödos (Τρόοδος) Botanical Garden,CY,CY-02,34.9289731,32.9157257,2022-11-05 12:45,50
L1122876,Troödos (Τρόοδος) Mountains (General),CY,CY-02,34.9225431,32.8996653,2023-02-25 11:30,96
L7274178,Troödos (Τρόοδος) Mountains--Picnic Place,CY,CY-01,34.9363967,32.894268,2022-09-17 06:57,44
L8677163,Tsada North Valley,CY,CY-05,34.83764,32.4804032,2023-02-23 11:35,58
L8678182,"Tunnel Beach, Episkopi",CY,CY-02,34.6671246,32.829263,2023-02-13 10:00,49
L20901230,University of Cyprus (New Campus and Fields) / Πανεπιστήμιο Κύπρου (Νέα Πανεπιστημιούπολη και Πεδία),CY,CY-01,35.145483,33.411022,2023-03-08 16:50,57
L4807513,Valley 2 km East of Androlikou (Ανδρολίκου),CY,CY-05,34.9962186,32.4020076,2019-06-04 06:00,15
L3696670,Vasilias Nikoklis Inn,CY,CY-05,34.7321922,32.5843334,2022-04-08 06:32,49
L21412825,Vassiliko / Βασιλικού Quarry,CY,CY-03,34.724745,33.3025613,2022-10-26 15:00,17
L8373214,Vavla (Βάβλα) to Choirokoitia (Χοιροκoιτία),CY,CY-03,34.813849,33.299279,1994-08-13 00:00,10
L6363600,Vretsia (Βρέτσια),CY,CY-05,34.890296,32.6564527,2022-04-16 10:00,56
L3514712,Zakaki (Ζακάκι) Marsh,CY,CY-02,34.642074,33.003173,2023-02-05 16:00,200
L8678081,Zakaki (Ζακάκι) Marsh--Run-off Marsh,CY,CY-02,34.6299753,32.9933348,2023-01-02 10:43,111
L18379902,Çınarlı / Πλατάνι,CY,CY-04,35.3370423,33.7405835,2022-06-17 12:20,10
