locId,locName,countryCode,subnational1Code,lat,lng,latestObsDt,numSpeciesAllTime
L1024034,Mia Milia--Haspolat Sewage Treatment Plant,CY,CY-01,35.1920125,33.4278774,2023-01-23 12:00,95
L8677334,Minthis Hills,CY,CY-05,34.8101195,32.504195,2023-02-23 12:00,139
L4807487,Minthis Hills Golf Course (Restricted access),CY,CY-05,34.8221005,32.4947155,2022-07-02 08:04,27
L18780291,Molos / Μώλος Promenade,CY,CY-02,34.6725207,33.045225,2023-02-05 00:00,18
L4796992,Monagri (Μονάγρι) Orchards,CY,CY-02,34.8012767,32.9171097,2016-07-17 17:30,27
L20739551,Monashilakas Picnic Area,CY,CY-05,34.9261372,32.6475962,2023-02-03 00:00,7
L5570909,Mt Olympos (Χιονίστρα),CY,CY-02,34.9358368,32.8628411,2023-02-23 10:00,58
L7216908,Nata (Νατά) Ford,CY,CY-05,34.7744848,32.5813808,2022-04-10 15:45,97
L20204205,Natura Beach,CY,CY-05,35.0468406,32.4334215,2022-09-23 12:00,40
L18637601,Nicosia Municipal Park / Δημοτικό Πάρκο Λευκωσίας,CY,CY-01,35.173033,33.354224,2022-06-11 12:43,13
L8373168,Odou (Οδού),CY,CY-03,34.8849452,33.151309500000004,2019-12-17 00:00,21
L8718419,Ormideia-Xylofagou Seashore,CY,CY-03,34.9773482,33.7838535,2017-04-08 13:00,24
L8683897,Oroklini Coast,CY,CY-03,34.9659677,33.6662523,2023-02-09 14:30,23
L3721127,Oroklini Lake (Λίμνη Ορόκλινης),CY,CY-03,34.9670376,33.65417,2023-03-04 17:03,180
L5567894,Pachyammos (Παχύαμμος),CY,CY-05,34.7443836,32.4269345,2022-11-16 08:00,60
L18371384,Paphos (Πάφος) Goat Fields,CY,CY-05,34.7660634,32.4079941,2023-01-09 12:23,46
L2391046,Paphos (Πάφος) Headland,CY,CY-05,34.7548711,32.4009562,2023-02-26 09:10,224
L8916123,Paphos (Πάφος) Lighthouse Area,CY,CY-05,34.7606723,32.4060514,2023-02-28 13:30,160
L1122879,Paphos (Πάφος) WTP,CY,CY-05,34.7268,32.469,2023-02-24 07:30,175
L4780745,Paphos Forest (Δάσος Πάφου),CY,CY-01,35.0213933,32.6832104,2016-08-30 00:00,55
L6811618,Paphos Forest (Δάσος Πάφου)--Agia Picnic Site,CY,CY-05,34.9810123,32.6248991,2018-01-27 11:00,6
L6811730,Paphos Forest (Δάσος Πάφου)--Stavros tis Psokas (Σταυρός της Ψώκας),CY,CY-05,35.0237761,32.6293731,2022-04-09 09:30,38
L6361013,Paphos Forest (Δάσος Πάφου)--Tzelefos Bridge (Γιοφύρι Του Τζελεφού),CY,CY-05,34.8893808,32.7472454,2022-07-08 15:29,32
L2245855,Paralimni Lake (Λίμνη Παραλίμνιου),CY,CY-04,35.0368838,33.9665508,2023-02-19 10:00,149
L18690473,Pedagogical Academy Natural Forest Park / Πάρκο/Γήπεδο Οδος Ακροπόλεως,CY,CY-01,35.158551,33.380636,2023-03-05 14:49,20
L19342272,Pedieos River between Grammiko Park and Limni Mangli / Πεδιαίος ποταμός μεταξύ Λίμνη Μαγκλή και Γραμμικό Πάρκο,CY,CY-01,35.141564,33.336731,2022-05-29 11:47,16
L18637745,Pedieos River between Omirou and Grammiko Park / Πεδιαίος ποταμός μεταξύ Ομήρου και Γραμμικό Πάρκο,CY,CY-01,35.165944,33.351658,2023-02-21 10:00,28
L7220075,Perivolia (Περβόλια) Farmland,CY,CY-03,34.824103,33.594595,2023-01-22 07:35,34
L8386508,Perivolia (Περβόλια) to Zigi (Ζύγι),CY,CY-03,34.7767824,33.4616501,1993-03-25 00:00,15
L22249937,Persephone Trail / Μονοπάτη Περσεφόνης,CY,CY-02,34.9125985,32.8897682,2008-04-21 00:00,51
L8678135,Phasouri Bee-hives,CY,CY-02,34.625907,32.9429296,2022-11-03 11:25,45
L9718423,Phinikas/Foinikas (Φοίνικας),CY,CY-05,34.7509405,32.5664154,2022-06-03 10:50,103
L6363654,Pikni Forest (Δάσος Πικνής),CY,CY-05,34.8959984,32.3665166,2022-12-11 08:38,47
L8677214,Pissouri (Πισσούρι) East Cliff,CY,CY-02,34.6595107,32.734183,2022-04-06 09:11,54
L5570883,Pissouri (Πισσούρι) stream and scrubland,CY,CY-02,34.656996,32.6916304,2022-07-26 07:26,61
L6363713,Platania (Εκδρομικός Χώρος Πλατανιών),CY,CY-01,34.9480761,32.9287291,2022-05-08 14:48,21
L8684902,Platania Forest Stn.,CY,CY-01,34.9470912,32.9286218,2023-02-20 11:45,25
