British (English) vernacular name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Black-winged Pratincole,,Glareola nordmanni,A,†,,,1950
Kittiwake,Black-legged Kittiwake,Rissa tridactyla,AF,,,,1960
Ivory Gull,,Pagophila eburnea,A,†,,,1970
Sabine's Gull,,Xema sabini,A,,,,1980
Slender-billed Gull,,Chroicocephalus genei,A,†,,,1990
Bonaparte's Gull,,Chroicocephalus philadelphia,A,†,,,2000
Black-headed Gull,,Chroicocephalus ridibundus,AF,,,,2010
Little Gull,,Hydrocoloeus minutus,AF,,,,2020
Ross's Gull,,Rhodostethia rosea,A,†,,,2030
Laughing Gull,,Leucophaeus atricilla,A,†,,,2040
Franklin's Gull,,Leucophaeus pipixcan,A,†,,,2050
Audouin's Gull,,Ichthyaetus audouinii,A,†,,,2060
Mediterranean Gull,,Ichthyaetus melanocephalus,A,,,,2070
Great Black-headed Gull,Pallas's Gull,Ichthyaetus ichthyaetus,B,†,,,2080
Common Gull,,Larus canus,AF,,,,2090
Ring-billed Gull,,Larus delawarensis,A,,,,2100
Great Black-backed Gull,,Larus marinus,AF,,,,2110
Kelp Gull,,Larus dominicanus,A,†,,,2115
Glaucous-winged Gull,,Larus glaucescens,A,†,,,2120
Glaucous Gull,,Larus hyperboreus,AF,,,,2130
Iceland Gull,,Larus glaucoides,A,‡,,,2140
Herring Gull,European Herring Gull,Larus argentatus,AF,,,,2150
American Herring Gull,,Larus smithsonianus,A,†,,,2160
Caspian Gull,,Larus cachinnans,A,,,,2170
Yellow-legged Gull,,Larus michahellis,A,‡,,,2180
Slaty-backed Gull,,Larus schistisagus,A,†,,,2190
Lesser Black-backed Gull,,Larus fuscus,AF,‡,,,2200
Gull-billed Tern,,Gelochelidon nilotica,A,†,,,2210
Caspian Tern,,Hydroprogne caspia,A,†,,,2220
Royal Tern,,Thalasseus maximus,A,†,,,2230
Lesser Crested Tern,,Thalasseus bengalensis,A,†,,,2240
Sandwich Tern,,Thalasseus sandvicensis,AF,,,,2250
Cabot's Tern,,Thalasseus acuflavidus,A,†,,,2260
Elegant Tern,,Thalasseus elegans,A,†,,,2270
Little Tern,,Sternula albifrons,A,,,,2280
Least Tern,,Sternula antillarum,A,†,,,2290
Aleutian Tern,,Onychoprion aleuticus,A,†,,,2300
Bridled Tern,,Onychoprion anaethetus,A,†,,,2310
Sooty Tern,,Onychoprion fuscatus,A,†,,,2320
Roseate Tern,,Sterna dougallii,A,,,,2330
Common Tern,,Sterna hirundo,AF,,,,2340
Arctic Tern,,Sterna paradisaea,A,,,,2350
Forster's Tern,,Sterna forsteri,A,†,,,2360
Whiskered Tern,,Chlidonias hybrida,A,,,,2370
White-winged Black Tern,White-winged Tern,Chlidonias leucopterus,A,,,,2380
Black Tern,,Chlidonias niger,A,‡,,,2390
South Polar Skua,,Stercorarius maccormicki,A,†,,,2400
Great Skua,,Stercorarius skua,AF,,,,2410
Pomarine Skua,Pomarine Jaeger,Stercorarius pomarinus,AF,,,,2420
Arctic Skua,Parasitic Jaeger,Stercorarius parasiticus,AF,,,,2430
Long-tailed Skua,Long-tailed Jaeger,Stercorarius longicaudus,AF,,,,2440
Little Auk,,Alle alle,AF,‡,,,2450
Brünnich's Guillemot,Thick-billed Murre,Uria lomvia,A,†,,,2460
Common Guillemot,Common Murre,Uria aalge,AF,,,,2470
Razorbill,,Alca torda,AF,,,,2480
Great Auk,,Pinguinus impennis,BF,Extinct,,,2490
Black Guillemot,,Cepphus grylle,AF,‡,,,2500
Long-billed Murrelet,,Brachyramphus perdix,A,†,,,2510
Ancient Murrelet,,Synthliboramphus antiquus,A,†,,,2520
Puffin,Atlantic Puffin,Fratercula arctica,AF,,,,2530
Tufted Puffin,,Fratercula cirrhata,A,†,,,2540
Red-billed Tropicbird,,Phaethon aethereus,AE,†,,,2550
Red-throated Diver,Red-throated Loon,Gavia stellata,AF,,,,2560
Black-throated Diver,Black-throated Loon,Gavia arctica,AF,,,,2570
Pacific Diver,Pacific Loon,Gavia pacifica,A,†,,,2580
Great Northern Diver,Common Loon,Gavia immer,AF,,,,2590
White-billed Diver,Yellow-billed Loon,Gavia adamsii,A,,,,2600
Wilson's Petrel,Wilson's Storm Petrel,Oceanites oceanicus,A,,,,2610
White-faced Storm Petrel,,Pelagodroma marina,B,†,,,2620
Black-browed Albatross,,Thalassarche melanophris,A,†,,,2630
Atlantic Yellow-nosed Albatross,,Thalassarche chlororhynchos,A,†,,,2640
Storm Petrel,European Storm Petrel,Hydrobates pelagicus,AF,,,,2650
Swinhoe's Petrel,Swinhoe's Storm Petrel,Hydrobates monorhis,A,†,,,2660
