British (English) vernacular name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Dunlin,,Calidris alpina,AF,,,,1590
Purple Sandpiper,,Calidris maritima,A,,,,1600
Baird's Sandpiper,,Calidris bairdii,A,†,,,1610
Little Stint,,Calidris minuta,A,,,,1620
Least Sandpiper,,Calidris minutilla,A,†,,,1630
White-rumped Sandpiper,,Calidris fuscicollis,A,,,,1640
Buff-breasted Sandpiper,,Calidris subruficollis,A,,,,1650
Pectoral Sandpiper,,Calidris melanotos,A,,,,1660
Semipalmated Sandpiper,,Calidris pusilla,A,†,,,1670
Western Sandpiper,,Calidris mauri,A,†,,,1680
Long-billed Dowitcher,,Limnodromus scolopaceus,A,†,,,1690
Short-billed Dowitcher,,Limnodromus griseus,A,†,,,1700
Woodcock,Eurasian Woodcock,Scolopax rusticola,AF,,,,1710
Jack Snipe,,Lymnocryptes minimus,AF,,,,1720
Great Snipe,,Gallinago media,AF,†,,,1730
Snipe,Common Snipe,Gallinago gallinago,AF,,,,1740
Wilson's Snipe,,Gallinago delicata,A,†,,,1750
Terek Sandpiper,,Xenus cinereus,A,†,,,1760
Wilson's Phalarope,,Phalaropus tricolor,A,†,,,1770
Red-necked Phalarope,,Phalaropus lobatus,AF,,,,1780
Grey Phalarope,Red Phalarope,Phalaropus fulicarius,AF,,,,1790
Common Sandpiper,,Actitis hypoleucos,A,,,,1800
Spotted Sandpiper,,Actitis macularius,A,†,,,1810
Green Sandpiper,,Tringa ochropus,AF,,,,1820
Solitary Sandpiper,,Tringa solitaria,A,†,,,1830
Grey-tailed Tattler,,Tringa brevipes,A,†,,,1840
Lesser Yellowlegs,,Tringa flavipes,A,,,,1850
Redshank,Common Redshank,Tringa totanus,AF,,,,1860
Marsh Sandpiper,,Tringa stagnatilis,A,†,,,1870
Wood Sandpiper,,Tringa glareola,A,,,,1880
Spotted Redshank,,Tringa erythropus,AF,,,,1890
Greenshank,Common Greenshank,Tringa nebularia,AF,,,,1900
Greater Yellowlegs,,Tringa melanoleuca,A,†,,,1910
Cream-coloured Courser,Cream-colored Courser,Cursorius cursor,A,†,,,1920
Collared Pratincole,,Glareola pratincola,A,†,,,1930
Oriental Pratincole,,Glareola maldivarum,A,†,,,1940
