British (English) vernacular name,IOC World Bird List international English name,Scientific name,Category,Codes,† BBRC species,‡ BBRC subspecies,SEQ
Mistle Thrush,,Turdus viscivorus,A,,,,27013
Redwing,,Turdus iliacus,A,,,,27060
Blackbird,Common Blackbird,Turdus merula,A,,,,27063
Eyebrowed Thrush,,Turdus obscurus,A,†,,,27083
Fieldfare,,Turdus pilaris,A,,,,27142
Ring Ouzel,,Turdus torquatus,A,,,,27143
Black-throated Thrush,,Turdus atrogularis,A,†,,,27147
Red-throated Thrush,,Turdus ruficollis,A,†,,,27148
Dusky Thrush,,Turdus eunomus,A,†,,,27149
Naumann's Thrush,,Turdus naumanni,A,†,,,27150
American Robin,,Turdus migratorius,AE,†,,,27155
Rufous-tailed Scrub Robin,,Cercotrichas galactotes,A,†,,,27328
Spotted Flycatcher,,Muscicapa striata,A,,,,27466
Asian Brown Flycatcher,,Muscicapa dauurica,A,†,,,27482
Robin,European Robin,Erithacus rubecula,A,,,,27677
Siberian Blue Robin,,Larvivora cyane,A,†,,,27864
Rufous-tailed Robin,,Larvivora sibilans,A,†,,,27868
Bluethroat,,Luscinia svecica,A,,,,27876
Thrush Nightingale,,Luscinia luscinia,A,†,,,27891
Nightingale,Common Nightingale,Luscinia megarhynchos,A,‡,,,27892
White-throated Robin,,Irania gutturalis,A,†,,,27897
Siberian Rubythroat,,Calliope calliope,A,†,,,27904
Red-flanked Bluetail,,Tarsiger cyanurus,AE,,,,27929
Taiga Flycatcher,,Ficedula albicilla,A,†,,,28026
Red-breasted Flycatcher,,Ficedula parva,A,,,,28027
Pied Flycatcher,European Pied Flycatcher,Ficedula hypoleuca,A,‡,,,28030
Collared Flycatcher,,Ficedula albicollis,A,†,,,28034
Black Redstart,,Phoenicurus ochruros,A,‡,,,28069
Redstart,Common Redstart,Phoenicurus phoenicurus,A,,,,28076
Moussier's Redstart,,Phoenicurus moussieri,A,†,,,28084
Rock Thrush,Common Rock Thrush,Monticola saxatilis,A,†,,,28106
Blue Rock Thrush,,Monticola solitarius,AE,†,,,28110
Whinchat,,Saxicola rubetra,A,,,,28125
Stonechat,European Stonechat,Saxicola rubicola,A,,,,28131
Siberian Stonechat,,Saxicola maurus,A,†,,,28134
Stejneger's Stonechat,,Saxicola stejnegeri,A,†,,,28140
Wheatear,Northern Wheatear,Oenanthe oenanthe,A,,,,28240
Isabelline Wheatear,,Oenanthe isabellina,A,†,,,28253
Desert Wheatear,,Oenanthe deserti,A,†,,,28255
Western Black-eared Wheatear,,Oenanthe hispanica,A,†,,,28259
Eastern Black-eared Wheatear,,Oenanthe melanoleuca,A,†,,,28260
Pied Wheatear,,Oenanthe pleschanka,A,†,,,28262
White-crowned Black Wheatear,White-crowned Wheatear,Oenanthe leucopyga,A,†,,,28302
Dipper,White-throated Dipper,Cinclus cinclus,A,‡,,,28326
Rock Sparrow,,Petronia petronia,A,†,,,29058
Tree Sparrow,Eurasian Tree Sparrow,Passer montanus,A,,,,29136
Spanish Sparrow,,Passer hispaniolensis,A,†,,,29153
House Sparrow,,Passer domesticus,A,,,,29157
Alpine Accentor,,Prunella collaris,A,†,,,29956
Siberian Accentor,,Prunella montanella,A,†,,,29973
Dunnock,,Prunella modularis,A,,,,29988
Yellow Wagtail,Western Yellow Wagtail,Motacilla flava,A,‡,,,30003
Eastern Yellow Wagtail,,Motacilla tschutschensis,A,†,,,30014
Citrine Wagtail,,Motacilla citreola,A,,,,30019
Grey Wagtail,,Motacilla cinerea,A,,,,30028
Pied Wagtail,White Wagtail,Motacilla alba,A,‡,,,30036
Richard's Pipit,,Anthus richardi,A,,,,30074
Blyth's Pipit,,Anthus godlewskii,A,†,,,30109
Tawny Pipit,,Anthus campestris,A,†,,,30110
Meadow Pipit,,Anthus pratensis,A,,,,30157
Tree Pipit,,Anthus trivialis,A,,,,30158
Olive-backed Pipit,,Anthus hodgsoni,A,,,,30161
Pechora Pipit,,Anthus gustavi,A,†,,,30164
Red-throated Pipit,,Anthus cervinus,A,†,,,30168
Buff-bellied Pipit,,Anthus rubescens,A,†,,,30169
Water Pipit,,Anthus spinoletta,A,,,,30173
Rock Pipit,European Rock Pipit,Anthus petrosus,A,,,,30177
Chaffinch,Common Chaffinch,Fringilla coelebs,AE,,,,30237
Brambling,,Fringilla montifringilla,A,,,,30256
Evening Grosbeak,,Hesperiphona vespertina,A,†,,,30265
Hawfinch,,Coccothraustes coccothraustes,A,,,,30275
Pine Grosbeak,,Pinicola enucleator,AE,†,,,30290
Bullfinch,Eurasian Bullfinch,Pyrrhula pyrrhula,A,,,,30313
Trumpeter Finch,,Bucanetes githagineus,AE,†,,,30329
Common Rosefinch,,Carpodacus erythrinus,A,,,,30374
Greenfinch,European Greenfinch,Chloris chloris,AE,,,,30519
Twite,,Linaria flavirostris,A,,,,30654
Linnet,Common Linnet,Linaria cannabina,A,,,,30664
Common Redpoll,,Acanthis flammea,A,,,,30675
Lesser Redpoll,,Acanthis cabaret,A,,,,30678
Arctic Redpoll,,Acanthis hornemanni,A,†,,,30679
Parrot Crossbill,,Loxia pytyopsittacus,A,,,,30683
Scottish Crossbill,,Loxia scotica,A,,,,30684
Crossbill,Red Crossbill,Loxia curvirostra,A,,,,30685
Two-barred Crossbill,,Loxia leucoptera,A,†,,,30706
Goldfinch,European Goldfinch,Carduelis carduelis,A,,,,30718
Citril Finch,,Carduelis citrinella,A,†,,,30733
Serin,European Serin,Serinus serinus,A,,,,30737
Siskin,Eurasian Siskin,Spinus spinus,A,,,,30766
Lapland Bunting,Lapland Longspur,Calcarius lapponicus,A,,,,30908
Snow Bunting,,Plectrophenax nivalis,A,,,,30917
Corn Bunting,,Emberiza calandra,A,,,,30937
Yellowhammer,,Emberiza citrinella,A,,,,30940
Pine Bunting,,Emberiza leucocephalos,A,†,,,30944
Rock Bunting,,Emberiza cia,A,†,,,30947
Ortolan Bunting,,Emberiza hortulana,AE,,,,30975
Cretzschmar's Bunting,,Emberiza caesia,A,†,,,30976
Cirl Bunting,,Emberiza cirlus,A,,,,30977
Chestnut-eared Bunting,,Emberiza fucata,A,†,,,31008
Little Bunting,,Emberiza pusilla,A,,,,31012
Yellow-browed Bunting,,Emberiza chrysophrys,A,†,,,31013
Rustic Bunting,,Emberiza rustica,A,†,,,31014
Yellow-breasted Bunting,,Emberiza aureola,AE,†,,,31018
Chestnut Bunting,,Emberiza rutila,A,†,,,31036
Black-headed Bunting,,Emberiza melanocephala,AE,†,,,31038
Black-faced Bunting,,Emberiza spodocephala,AE,†,,,31041
Pallas's Reed Bunting,,Emberiza pallasi,A,†,,,31048
Reed Bunting,Common Reed Bunting,Emberiza schoeniclus,A,,,,31056
Lark Sparrow,,Chondestes grammacus,A,†,,,31220
Dark-eyed Junco,,Junco hyemalis,AE,†,,,31328
White-crowned Sparrow,,Zonotrichia leucophrys,AE,†,,,31380
White-throated Sparrow,,Zonotrichia albicollis,AE,†,,,31388
Savannah Sparrow,,Passerculus sandwichensis,A,†,,,31427
Song Sparrow,,Melospiza melodia,AE,†,,,31448
Eastern Towhee,,Pipilo erythrophthalmus,A,†,,,31574
Bobolink,,Dolichonyx oryzivorus,A,†,,,31725
Baltimore Oriole,,Icterus galbula,AE,†,,,31851
Red-winged Blackbird,,Agelaius phoeniceus,A,†,,,31912
Brown-headed Cowbird,,Molothrus ater,A,†,,,31954
Ovenbird,,Seiurus aurocapilla,A,†,,,32069
Northern Waterthrush,,Parkesia noveboracensis,A,†,,,32077
Golden-winged Warbler,,Vermivora chrysoptera,A,†,,,32080
Black-and-white Warbler,,Mniotilta varia,A,†,,,32083
Tennessee Warbler,,Leiothlypis peregrina,A,†,,,32097
Common Yellowthroat,,Geothlypis trichas,A,†,,,32147
Hooded Warbler,,Setophaga citrina,A,†,,,32170
American Redstart,,Setophaga ruticilla,AE,†,,,32171
Cape May Warbler,,Setophaga tigrina,A,†,,,32173
Northern Parula,,Setophaga americana,AE,†,,,32175
Magnolia Warbler,,Setophaga magnolia,AE,†,,,32186
Bay-breasted Warbler,,Setophaga castanea,A,†,,,32187
Blackburnian Warbler,,Setophaga fusca,A,†,,,32188
Yellow Warbler,American Yellow Warbler,Setophaga aestiva,A,†,,,32189
Chestnut-sided Warbler,,Setophaga pensylvanica,A,†,,,32234
Blackpoll Warbler,,Setophaga striata,AE,†,,,32235
Yellow-rumped Warbler,Myrtle Warbler,Setophaga coronata,A,†,,,32248
Wilson's Warbler,,Cardellina pusilla,A,†,,,32397
Summer Tanager,,Piranga rubra,A,†,,,32483
Scarlet Tanager,,Piranga olivacea,A,†,,,32490
Rose-breasted Grosbeak,,Pheucticus ludovicianus,A,†,,,32555
Indigo Bunting,,Passerina cyanea,AE,†,,,32645
